gameid,date,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason,month,day,year,city,nickname
BOS195907170,07/17/1959,gordj101,Joe Gordon,CLE,M,umonf901,Frank Umont,8,Interference call,7,17,1959,Cleveland,Indians
BOS195907170,07/17/1959,minom101,Minnie Minoso,CLE,P,umonf901,Frank Umont,8,Called third strike (Threw bat),7,17,1959,Cleveland,Indians
NYA195907170,07/17/1959,mantm101,Mickey Mantle,NYA,P,romme101,Eddie Rommel,9,Call at 1B,7,17,1959,New York,Yankees
LAN195907230,07/23/1959,nealc101,Charlie Neal,LAN,P,sudoe901,Ed Sudol,7,Called third strike,7,23,1959,Los Angeles,Dodgers
LAN195907250,07/25/1959,zimmd101,Don Zimmer,LAN,P,boggd901,Dusty Boggess,2,Called third strike,7,25,1959,Los Angeles,Dodgers
CIN195907270,07/27/1959,hemus101,Solly Hemus,SLN,M,lands901,Stan Landes,1,Balls and strikes,7,27,1959,St. Louis,Cardinals
CLE195908010,08/01/1959,powev101,Vic Power,CLE,P,honoj901,Jim Honochick,5,Fighting,8,1,1959,Cleveland,Indians
KC1195908010,08/01/1959,kubet101,Tony Kubek,NYA,P,hurle901,Eddie Hurley,4,Balk call,8,1,1959,New York,Yankees
WS1195908040,08/04/1959,gordj101,Joe Gordon,CLE,M,hurle901,Eddie Hurley,2,Bench jockeying,8,4,1959,Cleveland,Indians
SLN195908060,08/06/1959,walkh102,Harry Walker,SLN,C,smitv101,Vinnie Smith,2,Call at 1B,8,6,1959,St. Louis,Cardinals
SLN195908070,08/07/1959,blasd101,Don Blasingame,SLN,P,secof101,Frank Secory,9,Interference non-call,8,7,1959,St. Louis,Cardinals
LAN195908090,08/09/1959,hanef101,Fred Haney,MLN,M,burkk101,Ken Burkhart,7,Called third strike,8,9,1959,Milwaukee,Braves
LAN195908090,08/09/1959,logaj101,Johnny Logan,MLN,P,burkk101,Ken Burkhart,7,Called third strike,8,9,1959,Milwaukee,Braves
CIN195908111,08/11/1959,dottd101,Dutch Dotterer,CIN,P,venzt901,Tony Venzon,8,Balls and strikes,8,11,1959,Cincinnati,Reds
CHN195908130,08/13/1959,sanfj101,Jack Sanford,SFN,P,dixoh901,Hal Dixon,1,Balls and strikes,8,13,1959,San Francisco,Giants
CHN195908130,08/13/1959,spend101,Daryl Spencer,SFN,P,dixoh901,Hal Dixon,1,Balls and strikes,8,13,1959,San Francisco,Giants
CHN195908130,08/13/1959,scheb101,Bob Scheffing,CHN,M,smitv101,Vinnie Smith,3,Call at 1B,8,13,1959,Chicago,Cubs
BAL195908150,08/15/1959,richp101,Paul Richards,BAL,M,stewb902,Bob Stewart,7,Balls and strikes,8,15,1959,Baltimore,Orioles
CHN195908160,08/16/1959,landh101,Hobie Landrith,SFN,P,dixoh901,Hal Dixon,9,Call at 1B,8,16,1959,San Francisco,Giants
CHN195908160,08/16/1959,rignb101,Bill Rigney,SFN,M,dixoh901,Hal Dixon,9,Call at 1B,8,16,1959,San Francisco,Giants
PIT195908162,08/16/1959,mejir101,Roman Mejias,PIT,P,conlj102,Jocko Conlan,4,Call at 2B,8,16,1959,Pittsburgh,Pirates
SLN195908160,08/16/1959,blasd101,Don Blasingame,SLN,P,lands901,Stan Landes,1,Call at 1B,8,16,1959,St. Louis,Cardinals
SLN195908160,08/16/1959,hemus101,Solly Hemus,SLN,M,lands901,Stan Landes,1,Call at 1B,8,16,1959,St. Louis,Cardinals
SLN195908160,08/16/1959,snidd101,Duke Snider,LAN,P,sudoe901,Ed Sudol,5,Balls and strikes,8,16,1959,Los Angeles,Dodgers
SLN195908160,08/16/1959,boyek101,Ken Boyer,SLN,P,sudoe901,Ed Sudol,5,Called third strike,8,16,1959,St. Louis,Cardinals
CIN195908210,08/21/1959,robif103,Frank Robinson,CIN,P,craws901,Shag Crawford,8,Call at HP,8,21,1959,Cincinnati,Reds
PHI195908211,08/21/1959,ashbr101,Richie Ashburn,PHI,P,burkk101,Ken Burkhart,7,Balls and strikes,8,21,1959,Philadelphia,Phillies
PHI195908212,08/21/1959,freeg102,Gene Freese,PHI,P,venzt901,Tony Venzon,2,Called third strike,8,21,1959,Philadelphia,Phillies
PIT195908220,08/22/1959,drysd101,Don Drysdale,LAN,P,dascf901,Frank Dascoli,8,Bench jockeying (Threw equipment),8,22,1959,Los Angeles,Dodgers
PIT195908220,08/22/1959,snidd101,Duke Snider,LAN,P,dascf901,Frank Dascoli,8,Bench jockeying (Threw equipment),8,22,1959,Los Angeles,Dodgers
PIT195908232,08/23/1959,oceaf801,Frank Oceak,PIT,C,secof101,Frank Secory,10,Balls and strikes,8,23,1959,Pittsburgh,Pirates
CHN195908290,08/29/1959,fitzf101,Freddie Fitzsimmons,CHN,C,burkk101,Ken Burkhart,9,Check swing (Threw equipment),8,29,1959,Chicago,Cubs
CHN195908290,08/29/1959,walll101,Lee Walls,CHN,P,burkk101,Ken Burkhart,9,Check swing (Threw equipment),8,29,1959,Chicago,Cubs
SLN195908290,08/29/1959,hutcf101,Fred Hutchinson,CIN,M,dixoh901,Hal Dixon,5,Check swing,8,29,1959,Cincinnati,Reds
SLN195908290,08/29/1959,tempj101,Johnny Temple,CIN,P,dixoh901,Hal Dixon,5,Check swing,8,29,1959,Cincinnati,Reds
PIT195908302,08/30/1959,sawye801,Eddie Sawyer,PHI,M,barla901,Al Barlick,1,Time between games was short; Pregame meeting,8,30,1959,Philadelphia,Phillies
CHA195909021,09/02/1959,wilsr102,Red Wilson,DET,P,berrc103,Charlie Berry,4,Fair/Foul call,9,2,1959,Detroit,Tigers
CHA195909040,09/04/1959,pierj102,Jim Piersall,CLE,P,umonf901,Frank Umont,8,Bench jockeying,9,4,1959,Cleveland,Indians
WS1195909060,09/06/1959,gernd101,Dick Gernert,BOS,P,nappl901,Larry Napp,3,Called third strike,9,6,1959,Boston,Red Sox
WS1195909060,09/06/1959,sullf101,Frank Sullivan,BOS,P,nappl901,Larry Napp,3,Called third strike,9,6,1959,Boston,Red Sox
